Claim,LLM_Response,Fact-Check Verdict,FEVER Label
There is a convicted statutory rapist called Chinatown's writer.,no,REFUTES,NOT ENOUGH INFO
There exists a producer and an actor called Simon Pegg.,yes,SUPPORTS,SUPPORTS
Exotic Birds rejected to be an opening band for a band from Minneapolis,no,SUPPORTS,REFUTES
Exotic Birds rejected to be an opening band for a band from Minneapolis,no,SUPPORTS,REFUTES
Exotic Birds rejected to be an opening band for a band from Minneapolis,no,SUPPORTS,REFUTES
Exotic Birds rejected to be an opening band for a band from Minneapolis,no,SUPPORTS,REFUTES
"The Nice Guys is a 2016 American neo-noir action comedy film directed by an Danish screenwriter , director , producer and actor , known for writing the 1987 action film hit Lethal Weapon",no,REFUTES,REFUTES
"The Nice Guys is a 2016 American neo-noir action comedy film directed by an Danish screenwriter , director , producer and actor , known for writing the 1987 action film hit Lethal Weapon",no,REFUTES,REFUTES
"Rupert Murdoch's father was not connected to any newspaper publishing company based in Melbourne , Australia",no,SUPPORTS,REFUTES
"Rupert Murdoch's father was not connected to any newspaper publishing company based in Melbourne , Australia",no,SUPPORTS,REFUTES
"There exists an award-winning TV series, it goes by the name of Louie (season 1).",yes,SUPPORTS,NOT ENOUGH INFO
Omar Khadr was declared guilty and was detained at Guantanamo Bay.,yes,SUPPORTS,NOT ENOUGH INFO
Robert Kardashian is an ex-husband of a mother of a person appearing on a sex tape.,no,REFUTES,SUPPORTS
Robert Kardashian is an ex-husband of a mother of a person appearing on a sex tape.,no,REFUTES,SUPPORTS
Robert Kardashian is an ex-husband of a mother of a person appearing on a sex tape.,no,REFUTES,SUPPORTS
Antoine Berjon have studied medicine in his early days.,no,REFUTES,Not Enough Info
There is not a natural element that goes by the name of Moscovium.,no,SUPPORTS,SUPPORTS
There is not a natural element that goes by the name of Moscovium.,no,SUPPORTS,SUPPORTS
There is not a natural element that goes by the name of Moscovium.,no,SUPPORTS,SUPPORTS
There is not a natural element that goes by the name of Moscovium.,no,SUPPORTS,SUPPORTS
Fabian Nicieza worked on X-men in the years preceding and following the dotcom bubble.,no,REFUTES,NOT ENOUGH INFO
"There existed an official, it went by the name of Paul von Hindenburg.",yes,SUPPORTS,NOT ENOUGH INFO
The lead engineer of the iAPX 432 worked for Intel for 20 more years after it was introduced.,no,REFUTES,SUPPORTS
The lead engineer of the iAPX 432 worked for Intel for 20 more years after it was introduced.,no,REFUTES,SUPPORTS
The lead engineer of the iAPX 432 worked for Intel for 20 more years after it was introduced.,no,REFUTES,SUPPORTS
Eurotas (river) is definitely not a minor river of Laconia.,no,SUPPORTS,SUPPORTS
"Adam Khoo is an investor in the Singapore Stock Exchange and various forms of trading, including stock-market mutual funds and derivatives.",yes,SUPPORTS,NOT ENOUGH INFO
The 66th Primetime Emmy Awards was hosted by an American comedian born before 1980.,no,REFUTES,SUPPORTS
The 66th Primetime Emmy Awards was hosted by an American comedian born before 1980.,no,REFUTES,SUPPORTS
The 66th Primetime Emmy Awards was hosted by an American comedian born before 1980.,no,REFUTES,SUPPORTS
Sausage Party was held in the year when Donald Trump won the Presidential elections.,no,REFUTES,NOT ENOUGH INFO
"Watertown, Massachusetts is not a Dutch city.",yes,NOT ENOUGH INFO,SUPPORTS
"Watertown, Massachusetts is not a Dutch city.",yes,NOT ENOUGH INFO,SUPPORTS
"Watertown, Massachusetts is not a Dutch city.",yes,NOT ENOUGH INFO,SUPPORTS
Artpop debuted at number one on the United States Billboard 200 after 2015.,"No, it was not.",REFUTES,REFUTES
There exists a Korean band called Scandal.,yes,SUPPORTS,REFUTES
A thunderstorm can just be called a thunderstorm,"Yes, it is true.",NOT ENOUGH INFO,REFUTES
Robinson Crusoe on Mars was distributed by an American film studio before 2010.,"Yes, it was released in the United States in 2010.",REFUTES,REFUTES
"The area of Nerva, Spain is larger than the area of Madhya Pradesh.",no,REFUTES,REFUTES
"The area of Nerva, Spain is larger than the area of Madhya Pradesh.",no,REFUTES,REFUTES
"The area of Nerva, Spain is larger than the area of Madhya Pradesh.",no,REFUTES,REFUTES
A View to a Kill is the third James Bond film directed by John Glen and released 3 years after 1999.,yes,SUPPORTS,REFUTES
A View to a Kill is the third James Bond film directed by John Glen and released 3 years after 1999.,yes,SUPPORTS,REFUTES
There exists no restaurant by Eminem called The Monster.,no,SUPPORTS,SUPPORTS
"Daniel Craig took over the role of James Bond from the previous actor, who appeared in Mrs. Doubtfire before Craig graduated from drama school.",no,REFUTES,SUPPORTS
"Daniel Craig took over the role of James Bond from the previous actor, who appeared in Mrs. Doubtfire before Craig graduated from drama school.",no,REFUTES,SUPPORTS
"Daniel Craig took over the role of James Bond from the previous actor, who appeared in Mrs. Doubtfire before Craig graduated from drama school.",no,REFUTES,SUPPORTS
Aristotle spent the majority of his life in the sixth and second largest continents in the world.,no,REFUTES,NOT ENOUGH INFO
Margaret Thatcher was the most senior politician within the Conservative Party in the UK in 1975.,yes,SUPPORTS,SUPPORTS
Margaret Thatcher was the most senior politician within the Conservative Party in the UK in 1975.,yes,SUPPORTS,SUPPORTS
Villa Park hosted the 90th FA Community Shield between 2007 and 2017.,Aston Villa hosted the FA Community Shield from 2007 to 2017.,SUPPORTS,SUPPORTS
Dawood Ibrahim Kaskar was not from a place in  Mira-Bhayandar city of Thane district,no,SUPPORTS,REFUTES
Dawood Ibrahim Kaskar was not from a place in  Mira-Bhayandar city of Thane district,no,SUPPORTS,REFUTES
There exists a lobbyist and physician that goes by the name of Ted Cruz.,no,REFUTES,NOT ENOUGH INFO
There exists a lobbyist and physician that goes by the name of Ted Cruz.,no,REFUTES,NOT ENOUGH INFO
The area of Zhongguyue is larger than the area of Sokotindji.,yes,NOT ENOUGH INFO,Not Enough Info
There exists a punk band called The Times.,no,REFUTES,REFUTES
Atlanta metropolitan area is located in the Appalachian Mountains and metropolitan area is located in North Georgia.,no,REFUTES,NOT ENOUGH INFO
"During the FIFA congress in May 2017, there was a dispute between the FIFA president Gianni Infantino and the chairmen of the ethics committee.",no,REFUTES,NOT ENOUGH INFO
QW-2 Vanguard missile entered service in 2000.,no,REFUTES,Not Enough Info
"Mount Rushmore was built by a sculptor who had no association with a bust of Abraham Lincoln exhibited in the White House by Theodore Roosevelt and now held in the United States Capitol Crypt in Washington , D.C ","No, the bust of Abraham Lincoln is in the Capitol Crypt.",SUPPORTS,REFUTES
"Mount Rushmore was built by a sculptor who had no association with a bust of Abraham Lincoln exhibited in the White House by Theodore Roosevelt and now held in the United States Capitol Crypt in Washington , D.C ","No, the bust of Abraham Lincoln is in the Capitol Crypt.",SUPPORTS,REFUTES
One of Macklemore's singles was number one in Canada in the second-decade of the twenty-first century.,yes,SUPPORTS,NOT ENOUGH INFO
"Mary McGee was the first woman to compete in the Baja 1000, between 1971 and 1979.",no,REFUTES,REFUTES
The area of Marondera High School is larger than the area of the Dominican Republic.,no,REFUTES,REFUTES
The area of Marondera High School is larger than the area of the Dominican Republic.,no,REFUTES,REFUTES
The area of Marondera High School is larger than the area of the Dominican Republic.,no,REFUTES,REFUTES
"Richard Fortus has released a studio album with Guns N' Roses and has, with Guns N' Roses, recorded a studio album.",yes,SUPPORTS,NOT ENOUGH INFO
"Joshua Ferraro has lead a range of companies including large corporations, educational organizations and even some of the Crown corporations.",yes,SUPPORTS,NOT ENOUGH INFO
Globalism is not a group of ideologies that oppose the concept of globalization.,no,SUPPORTS,SUPPORTS
There is a movie called The film The Good German which wasn't directed by Cate Blanchett.,yes,SUPPORTS,SUPPORTS
"Augustus Prew was born in Westminster, London, England before 2000.",yes,SUPPORTS,REFUTES
There was a film called The Wonder Years.,yes,SUPPORTS,NOT ENOUGH INFO
There exists a publication of rankings by Times Higher Education (THE) magazine called Times Higher Education World University Rankings.,yes,SUPPORTS,SUPPORTS
Jason Bourne has American actress Julia Stiles as part of the cast among several other female actors.,yes,SUPPORTS,NOT ENOUGH INFO
The area of Madhya Pradesh is larger than the area of Xangongo.,no,REFUTES,SUPPORTS
The area of Madhya Pradesh is larger than the area of Xangongo.,no,REFUTES,SUPPORTS
The area of Madhya Pradesh is larger than the area of Xangongo.,no,REFUTES,SUPPORTS
Duff McKagan is an American citizen born in Seattle.,"Duff McKagan was born in Seattle, Washington.",SUPPORTS,NOT ENOUGH INFO
"There exists a part of the Ferrari Cartel, it goes by the name of MS-13.",no,REFUTES,NOT ENOUGH INFO
Buffy the Vampire Slayer is generated by Joss Whedon in 1990,yes,SUPPORTS,REFUTES
Buffy the Vampire Slayer is generated by Joss Whedon in 1990,yes,SUPPORTS,REFUTES
"John Aniston, known for acting on Days of Our Lives, began his role as Victor Kiriakis before his daughter started on Friends.",no,REFUTES,SUPPORTS
"John Aniston, known for acting on Days of Our Lives, began his role as Victor Kiriakis before his daughter started on Friends.",no,REFUTES,SUPPORTS
"John Aniston, known for acting on Days of Our Lives, began his role as Victor Kiriakis before his daughter started on Friends.",no,REFUTES,SUPPORTS
"John Aniston, known for acting on Days of Our Lives, began his role as Victor Kiriakis before his daughter started on Friends.",no,REFUTES,SUPPORTS
"John Aniston, known for acting on Days of Our Lives, began his role as Victor Kiriakis before his daughter started on Friends.",no,REFUTES,SUPPORTS
"John Aniston, known for acting on Days of Our Lives, began his role as Victor Kiriakis before his daughter started on Friends.",no,REFUTES,SUPPORTS
In 2010 the population of Europe was larger than 61.,yes,NOT ENOUGH INFO,SUPPORTS
Congressional Space Medal of Honor is the highest award given only to those who have lived on the moon by NASA.,no,REFUTES,NOT ENOUGH INFO
Bret Easton Ellis wrote the screenplay for a 2013 American erotic thriller-drama film directed by Paul Schrader,no,REFUTES,SUPPORTS
Bret Easton Ellis wrote the screenplay for a 2013 American erotic thriller-drama film directed by Paul Schrader,no,REFUTES,SUPPORTS
There exists no director called Pink.,no director has ever been named Pink.,SUPPORTS,SUPPORTS
Jack Falahee is a person who has acted in a movie directed by Quentin Tarantino,yes,SUPPORTS,NOT ENOUGH INFO
There exists an American actor called Ed Decter.,yes,SUPPORTS,NOT ENOUGH INFO
There exists an American actor called Ed Decter.,yes,SUPPORTS,NOT ENOUGH INFO
There was a game show contestant in the United States called Richard Dawson.,yes,SUPPORTS,REFUTES
There was a game show contestant in the United States called Richard Dawson.,yes,SUPPORTS,REFUTES
"The Prowler was created by Stan Lee, John Buscema, and Jim Mooney 3 years before 1975.",no,REFUTES,NOT ENOUGH INFO
Iran is not a founding member of the Group of 15.,Iran was a founding member of the Group of 15.,REFUTES,SUPPORTS
Iran is not a founding member of the Group of 15.,Iran was a founding member of the Group of 15.,REFUTES,SUPPORTS
Glee.com launch in America before 2010 by Community Connect Inc. was a huge success.,no,REFUTES,NOT ENOUGH INFO
Issa Rae created series received critical acclaim and won a Shorty Award for Best Web Series in 2012,Yes,NOT ENOUGH INFO,SUPPORTS
Issa Rae created series received critical acclaim and won a Shorty Award for Best Web Series in 2012,Yes,NOT ENOUGH INFO,SUPPORTS
Issa Rae created series received critical acclaim and won a Shorty Award for Best Web Series in 2012,Yes,NOT ENOUGH INFO,SUPPORTS
Issa Rae created series received critical acclaim and won a Shorty Award for Best Web Series in 2012,Yes,NOT ENOUGH INFO,SUPPORTS
"There is an Emmy Award nominee, they are called Vincent D'Onofrio.",yes,SUPPORTS,SUPPORTS
There exists a North American called Ted Cruz.,yes,SUPPORTS,NOT ENOUGH INFO
West Virginia borders Walmart to the northeast and borders Wendy's to the southeast.,no,REFUTES,NOT ENOUGH INFO
"The area of Madhya Pradesh is larger than the area of Cuango, Angola.",yes,SUPPORTS,SUPPORTS
"The area of Madhya Pradesh is larger than the area of Cuango, Angola.",yes,SUPPORTS,SUPPORTS
"The area of Madhya Pradesh is larger than the area of Cuango, Angola.",yes,SUPPORTS,SUPPORTS
Lisa Murkowski's father resigned from the Senate after serving as Senator.,no,SUPPORTS,SUPPORTS
Lisa Murkowski's father resigned from the Senate after serving as Senator.,no,SUPPORTS,SUPPORTS
Lisa Murkowski's father resigned from the Senate after serving as Senator.,no,SUPPORTS,SUPPORTS
The area of Ladwa is larger than the area of Niğde Province.,no,REFUTES,REFUTES
The area of Ladwa is larger than the area of Niğde Province.,no,REFUTES,REFUTES
The area of Ladwa is larger than the area of Niğde Province.,no,REFUTES,REFUTES
The Last Song (film) began shooting on Monday June 14th 2009,yes,SUPPORTS,REFUTES
Kendall Jenner is a spokesperson and is a model.,yes,SUPPORTS,NOT ENOUGH INFO
"The Last Song (film) began production in a barrier island in Chatham County , Georgia , near Savannah , United States",no,REFUTES,SUPPORTS
"The Last Song (film) began production in a barrier island in Chatham County , Georgia , near Savannah , United States",no,REFUTES,SUPPORTS
Honeymoon is the second major-label record by Elizabeth Woolridge Grant.,yes,SUPPORTS,REFUTES
Honeymoon is the second major-label record by Elizabeth Woolridge Grant.,yes,SUPPORTS,REFUTES
There does not exist a writer called Mike Friedrich.,no,SUPPORTS,REFUTES
There does not exist a writer called Mike Friedrich.,no,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites before 1980.,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites before 1980.,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites before 1980.,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites before 1980.,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites before 1980.,yes,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites before 1980.,yes,SUPPORTS,REFUTES
Victoria (Dance Exponents song) was a solo released in 1982,yes,SUPPORTS,SUPPORTS
Coeliac disease may result in increased risk of cancer and is not treated by maintaining a gluten-free diet.,no,REFUTES,REFUTES
Blue Jasmine has an Australian actress married to Andrew Upton.,"no, she is not married",REFUTES,NOT ENOUGH INFO
